Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL
1,0XD6AR4Z08,Patanjali Kesh Kanti Advance Herbal Hair Expert Oil 100 ml,Bath Body and Hair,0,100ml,https://www.swiggy.com/stores/instamart/p/0XD6AR4Z08?custom_back=true
2,5E0HASUBUJ,Crocs Womens Splash Slides Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/5037892c-4d61-4063-9cbb-4e75e3ace0d0_BeltsWalletsBagsinstamax_W11ADHVRAD_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/5E0HASUBUJ?custom_back=true
3,X5P53X35HD,Crocs Womens Boca Wedge Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/f1fa7c9f-d0b8-4a36-8710-a8befbbf15dd_BeltsWalletsBagsinstamax_850PROKJ9W_MN.png,1Piece,https://www.swiggy.com/stores/instamart/p/X5P53X35HD?custom_back=true
4,QRKD13ZY2Q,Mad Over Print Super Sis Black Tshirt,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/7/11/e715020c-e277-4894-9ef7-f4b69e16c555_FashionClothing_QRKD13ZY2Q_MN.png,1Medium,https://www.swiggy.com/stores/instamart/p/QRKD13ZY2Q?custom_back=true
5,KTDUI4LQZN,Crocs Mens Crocband Flip Flop Graphite/Volt Green,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/e363ea12-a7c6-499e-b696-731ba8d3f7aa_BeltsWalletsBagsinstamax_VDIK9OO28I_MN.jpg,3UK,https://www.swiggy.com/stores/instamart/p/KTDUI4LQZN?custom_back=true
6,T4W4PZJR7X,Crocs Womens Splash Studded Flip Flop Red_UK5,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/70cce53d-953e-47e7-840e-a1f1a9fd4c5b_BeltsWalletsBagsinstamax_J45KXFTCPW_MN.PNG,5UK,https://www.swiggy.com/stores/instamart/p/T4W4PZJR7X?custom_back=true
7,W4LX4W4HAL,Crocs Mens Classic All-Terrain Flip Flop Yellow,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/aa2c705ee0a42434404c18dbb1793941,8UK,https://www.swiggy.com/stores/instamart/p/W4LX4W4HAL?custom_back=true
8,CE75R4DF79,Flite Slippers FL0366L Navy Pink- 6 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/e87737b9-4768-4660-bd23-5e18a50d5fa9_65013_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/CE75R4DF79?custom_back=true
9,7HKNXXYEJC,Flite Slippers FL0366L Navy Pink- 7 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/9375f718-3f23-4855-82a6-b86eb2638b00_79754_5.png,7UK,https://www.swiggy.com/stores/instamart/p/7HKNXXYEJC?custom_back=true
10,KPFIUJFTMY,Crocs Classic Crocs Marbled Sandal Brown,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/15/05b2ab71-e215-48fa-858b-178feb7fd151_BeltsWalletsBagsinstamax_LJX0D2IR0B_MN.PNG,10UK,https://www.swiggy.com/stores/instamart/p/KPFIUJFTMY?custom_back=true
11,18AZIHYB9C,Crocs Womens Flip Flop Black_6_UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/78f613ae-bc5f-467d-bf7d-2d406c81cd54_BeltsWalletsBagsinstamax_WF9VKW144Y_MN.JPG,1Piece,https://www.swiggy.com/stores/instamart/p/18AZIHYB9C?custom_back=true
12,P1RTN37BFS,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/be308e1a-f94a-420d-8a3f-089aa76e217c_BeltsWalletsBagsinstamax_3XJJ68R1CJ_MN.jpg,10UK,https://www.swiggy.com/stores/instamart/p/P1RTN37BFS?custom_back=true
13,W89HR56BGQ,Crocs Womens Classic Platform Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/28/4a9568ef-4786-495f-a28f-1db1dbfb7b1e_80920_1.png,4UK,https://www.swiggy.com/stores/instamart/p/W89HR56BGQ?custom_back=true
14,BMQ2O32KFH,Patanjali Dant Kanti Fresh Active Gel Toothpaste Crystal,Hygiene and Wellness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/6/0373f658-b9de-4816-8647-77d383d5056c_184512_1.png,300g,https://www.swiggy.com/stores/instamart/p/BMQ2O32KFH?custom_back=true
15,EY5KR8HMOY,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/be308e1a-f94a-420d-8a3f-089aa76e217c_BeltsWalletsBagsinstamax_3XJJ68R1CJ_MN.jpg,9UK,https://www.swiggy.com/stores/instamart/p/EY5KR8HMOY?custom_back=true
16,Y88MBIAAKW,Crocs Womens Kadee II Sandal Navy,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/4c3dd2f1-270d-4eea-a636-b327f09e234d_BeltsWalletsBagsinstamax_IN63VU7DT4_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/Y88MBIAAKW?custom_back=true
17,5SGZYQAP8K,Kriiddaank HW- Blaster Shot,Toys,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/20/5f3bafe2-e91b-459e-9961-62777940f5d8_444844_1.png,1pack,https://www.swiggy.com/stores/instamart/p/5SGZYQAP8K?custom_back=true
18,7FPPN3NW9X,Delight foods Banarasi Meetha Paan,Paan Corner,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/27/fbf1a926-6f2b-406e-9156-3cc3700720c8_847405_1.png,300g,https://www.swiggy.com/stores/instamart/p/7FPPN3NW9X?custom_back=true
19,9GFRH1T68G,Delight foods Premium Wild Joha Rice,"Atta, Rice and Dals",https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/27/ac417619-6ecd-4052-899a-dff8290502a2_704037_1.png,1kg,https://www.swiggy.com/stores/instamart/p/9GFRH1T68G?custom_back=true
20,Z1E2I15EF9,Robustt Keyless Numeric Bike Cable Lock | Preset Combination | Anti-Theft Protection,Sports and Fitness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/2/15/bd6088fc-1867-41e7-b4ee-0e03fe4778c5_404968_1.png,1pack,https://www.swiggy.com/stores/instamart/p/Z1E2I15EF9?custom_back=true
21,99BV8O917R,MAYA KISMIS INDIAN 500g,Dry Fruits and Nuts,https://instamart-media-assets.swiggy.com/swiggy/image/upload/dulbeaaboaj9rjrnwjem,500g,https://www.swiggy.com/stores/instamart/p/99BV8O917R?custom_back=true
22,24NQ4B71SV,Crocs Mens Classic Sandal White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/1b981edf44d686436b9bacbbf47a7aa5,1Piece,https://www.swiggy.com/stores/instamart/p/24NQ4B71SV?custom_back=true
